Model,Strategy,Sample_basis,Group,n,R2,RMSE,MAE,Bias
Full model (243),Apparent training fit,Available data,Overall,243,0.942272289825551,0.1247414598470481,0.09108086644856132,-0.0012274884172592158
Full model (243),Stratified 10-fold CV,Available data,Overall,243,0.4542626819109573,0.36386189027461674,0.24171033891982074,0.0030500894584593696
Reduced model (430),Apparent training fit,Available data,Overall,430,0.8120776896484163,0.21316313392947334,0.15543532787518222,-0.002020830950817415
Reduced model (430),Stratified 10-fold CV,Available data,Overall,430,0.342083873825751,0.38574724709375746,0.27324301169269566,-0.005890067862042081
