Feature,mean_abs_SHAP,median_abs_SHAP,min_SHAP,max_SHAP,n
Delta Breadth,0.19330459287523175,0.14314833283424377,-2.00380277633667,1.212766408920288,243
Disinfection Type,0.09245391270027684,0.05667226598598063,-0.26176519342698157,0.3723451206460595,243
Delta SNV Density,0.06349583896362786,0.0388609915971756,-0.2553943991661072,0.5674391984939575,243
Delta Pi,0.05027556181966745,0.035645317286252975,-0.364307701587677,0.21504630148410797,243
Initial Breadth,0.03196648220386004,0.021378230303525925,-0.1574457734823227,0.15333913266658783,243
