.row_id,Feature,SHAP_value,Feature_value,Feature_value_scaled
1,Delta Breadth,-0.08064962923526764,-0.004007841,0.6179360130554155
1,Delta Pi,-0.03711988404393196,0.003191495,0.6687666460730961
1,Delta SNV Density,-0.17153754830360413,2.202712019,0.4286029266898319
1,Disinfection Type,0.017251817043870687,NA,NA
1,Initial Breadth,-0.010047796182334423,0.007487138,0.008837946085301045
2,Delta Breadth,0.15948030352592468,0.00129789,0.6217573788843356
2,Delta Pi,0.0011958564864471555,0.005434699,0.6981394449666528
2,Delta SNV Density,-0.041585251688957214,0.523689018,0.4001615260721365
2,Disinfection Type,0.05296448711305857,NA,NA
2,Initial Breadth,0.002760261995717883,0.007879345,0.009314541321702693
3,Delta Breadth,-0.10469220578670502,-0.005621583,0.6167737418178625
3,Delta Pi,-0.01449618674814701,-9.88876e-4,0.6140283357440058
3,Delta SNV Density,-0.04187113419175148,-0.059867692,0.39027650951049964
3,Disinfection Type,-0.19066593050956726,NA,NA
3,Initial Breadth,0.013855043798685074,0.004840212,0.005621500884915353
4,Delta Breadth,0.26077741384506226,0.007991342,0.6265782280284623
4,Delta Pi,0.023493502289056778,-0.003187042,0.5852452701589524
4,Delta SNV Density,0.07390467822551727,-3.894184197,0.3253260402502238
4,Disinfection Type,-0.07168632559478283,NA,NA
4,Initial Breadth,0.013137713074684143,0.013324312,0.015931061002800114
5,Delta Breadth,0.21501438319683075,6.0403e-4,0.621257637586849
5,Delta Pi,-0.03520602360367775,-7.7612e-4,0.6168141899068005
5,Delta SNV Density,0.0912477895617485,-0.972645587,0.37481473098143253
5,Disinfection Type,-0.0429108995012939,NA,NA
5,Initial Breadth,0.018225172534585,0.009014238,0.01069362073034552
6,Delta Breadth,-0.031129468232393265,-4.40019e-4,0.6205056783992614
6,Delta Pi,0.09853395074605942,0.010030441,0.7583166760756701
6,Delta SNV Density,-0.04226616770029068,0.282973485,0.39608398401054623
6,Disinfection Type,0.02698159939609468,NA,NA
6,Initial Breadth,0.01718159392476082,0.004680113,0.005426954584740528
7,Delta Breadth,0.21735474467277527,0.018401703,0.6340761199856917
7,Delta Pi,0.07955265045166016,-0.009466617,0.503019715277628
7,Delta SNV Density,0.3068222403526306,-10.84651056,0.2075588034718827
7,Disinfection Type,-0.03858729777857661,NA,NA
7,Initial Breadth,-0.016744431108236313,0.022303197,0.026841865295426755
8,Delta Breadth,-0.0810968428850174,-0.004092455,0.6178750712081472
8,Delta Pi,-0.016048893332481384,0.001625301,0.6482587023505032
8,Delta SNV Density,-0.15791335701942444,2.610689731,0.43551376563794153
8,Disinfection Type,-0.061244933924172074,NA,NA
8,Initial Breadth,-0.013458626344799995,0.008061611,0.00953602412888865
9,Delta Breadth,0.2038874477148056,0.008010032,0.6265916891947638
9,Delta Pi,0.04343228414654732,-0.008629195,0.5139850256083158
9,Delta SNV Density,0.17065031826496124,-2.4652866,0.34953050259155855
9,Disinfection Type,-0.06698337197303772,NA,NA
9,Initial Breadth,-0.006805018521845341,0.017236383,0.0206848629570361
10,Delta Breadth,0.24227523803710938,0.004278923,0.6239044190643
10,Delta Pi,0.07241223007440567,0.001251094,0.643358788229647
10,Delta SNV Density,0.2013479471206665,-2.92221888,0.3417904096786581
10,Disinfection Type,0.04226780205499381,NA,NA
10,Initial Breadth,0.03794468194246292,0.015625104,0.01872689714838401
11,Delta Breadth,-0.12829357385635376,-0.004796167,0.6173682341690662
11,Delta Pi,-0.036154814064502716,0.001052399,0.6407570505918061
11,Delta SNV Density,-0.04947974160313606,1.36432095,0.4144012056571092
11,Disinfection Type,-0.19993461249396205,NA,NA
11,Initial Breadth,-0.005118269938975573,0.017423576,0.020912332869831473
12,Delta Breadth,-0.013662636280059814,-0.001970307,0.619403513537981
12,Delta Pi,0.03934582322835922,-0.001786634,0.6035823908813335
12,Delta SNV Density,0.008357949554920197,1.120136624,0.4102649048225217
12,Disinfection Type,0.3007137249223888,NA,NA
12,Initial Breadth,0.014386152848601341,0.007125647,0.008398675780074293
13,Delta Breadth,-0.24050000309944153,-0.008327622,0.6148247615611693
13,Delta Pi,0.03788808733224869,-0.005335798,0.5571091854072654
13,Delta SNV Density,-0.012250489555299282,-0.509625209,0.3826579517455385
13,Disinfection Type,-0.0760668944567442,NA,NA
13,Initial Breadth,-0.0053549036383628845,0.009095954,0.01079291894872968
14,Delta Breadth,0.09131311625242233,2.16605e-4,0.6209786010777856
14,Delta Pi,0.019414149224758148,-0.00250289,0.594203643587595
14,Delta SNV Density,-0.08064306527376175,-0.083764554,0.3898717144450104
14,Disinfection Type,0.028146433178335428,NA,NA
14,Initial Breadth,0.025752875953912735,0.00503349,0.005856365061488535
15,Delta Breadth,0.04964429885149002,0.005509876,0.6247909927958379
15,Delta Pi,-0.049858689308166504,-0.001097056,0.6126118130450873
15,Delta SNV Density,-0.07231482863426208,1.435230533,0.41560236124374234
15,Disinfection Type,0.08282452542334795,NA,NA
15,Initial Breadth,-0.01938275620341301,0.020239584,0.02433424017507828
16,Delta Breadth,-0.2680295407772064,-0.014966125,0.6100434885340625
16,Delta Pi,0.04436466097831726,8.12275e-4,0.6376128363511412
16,Delta SNV Density,-0.005820607300847769,0.070502422,0.39248488225979505
16,Disinfection Type,0.007805286208167672,NA,NA
16,Initial Breadth,-0.015446376986801624,0.016460413,0.019741933316334666
17,Delta Breadth,0.19399873912334442,0.002089509,0.6223275294999857
17,Delta Pi,-0.02427256666123867,-0.001053879,0.6131771781825545
17,Delta SNV Density,0.06903952360153198,-0.543407968,0.3820856969389529
17,Disinfection Type,0.04029315896332264,NA,NA
17,Initial Breadth,0.01561596617102623,0.013720696,0.01641273197294045
18,Delta Breadth,0.259103924036026,0.020910116,0.6358827633535931
18,Delta Pi,0.012847114354372025,-0.001561288,0.6065331001077201
18,Delta SNV Density,-0.08256743103265762,-0.060967313,0.39025788274876383
18,Disinfection Type,-0.07727959239855409,NA,NA
18,Initial Breadth,-0.006045004818588495,0.041997947,0.05077418683002806
19,Delta Breadth,-0.05562077835202217,-0.003720698,0.6181428230968996
19,Delta Pi,0.026093898341059685,0.001354557,0.6447135459297599
19,Delta SNV Density,-0.0494338683784008,0.564490323,0.4008526698268907
19,Disinfection Type,0.020171179436147213,NA,NA
19,Initial Breadth,-0.0072435117326676846,0.013243668,0.01583306543860984
20,Delta Breadth,0.38429731130599976,0.037456411,0.6477999612492706
20,Delta Pi,0.09328659623861313,-0.003933987,0.575464677190347
20,Delta SNV Density,0.14889051020145416,-2.982587336,0.340767812941898
20,Disinfection Type,-0.04944651061668992,NA,NA
20,Initial Breadth,0.024332405999302864,0.050463124,0.061060752428033195
21,Delta Breadth,-0.050400927662849426,-0.005114649,0.617138852726259
21,Delta Pi,-0.008198428899049759,0.00197245,0.652804315572974
21,Delta SNV Density,-0.017169665545225143,0.242363266,0.3953960771104839
21,Disinfection Type,-0.054472672985866666,NA,NA
21,Initial Breadth,0.003663708921521902,0.01968396,0.02365906672934572
22,Delta Breadth,0.17788246273994446,0.004034748,0.6237285560208709
22,Delta Pi,0.01639629900455475,8.52058e-4,0.6381337600203137
22,Delta SNV Density,-0.038107454776763916,0.409290818,0.398223705664551
22,Disinfection Type,0.0319257325027138,NA,NA
22,Initial Breadth,-0.008587206713855267,0.021740591,0.026158207585159
23,Delta Breadth,-0.5792686939239502,-0.062320495,0.5759372793485538
23,Delta Pi,-0.015984145924448967,-0.002028749,0.6004121062330743
23,Delta SNV Density,0.03135683760046959,-2.623542987,0.3468497571221425
23,Disinfection Type,-0.0033309906721115112,NA,NA
23,Initial Breadth,-0.03625044226646423,0.004858704,0.005643971669759936
24,Delta Breadth,-0.0179931428283453,-3.89728e-4,0.6205418996680936
24,Delta Pi,-0.007016295567154884,-1.65565e-4,0.6248088748433713
24,Delta SNV Density,-0.01592341810464859,0.096084494,0.3929182235290626
24,Disinfection Type,-0.05350608145818114,NA,NA
24,Initial Breadth,-0.005474956706166267,0.00384116,0.00440749036466064
25,Delta Breadth,-0.04394581541419029,-0.00141861,0.619800864263775
25,Delta Pi,-0.03884188458323479,-4.25107e-4,0.62141039883743
25,Delta SNV Density,0.061461251229047775,-0.760755278,0.3784039951914445
25,Disinfection Type,-0.05848015518859029,NA,NA
25,Initial Breadth,-0.004347053822129965,0.004767721,0.005533412540541102
26,Delta Breadth,0.15697570145130157,0.014828941,0.6315028966877777
26,Delta Pi,0.014145727269351482,8.56201e-4,0.6381880089900088
26,Delta SNV Density,0.02721724472939968,1.206091046,0.4117209087900126
26,Disinfection Type,0.024998199427500367,NA,NA
26,Initial Breadth,-0.012179861776530743,0.023183293,0.027911324946009602
27,Delta Breadth,-0.32850414514541626,-0.019849488,0.6065263263374845
27,Delta Pi,0.010731753893196583,-1.59905e-4,0.6248829876042872
27,Delta SNV Density,0.036209993064403534,-0.863260631,0.37666763076499243
27,Disinfection Type,-0.21003275108523667,NA,NA
27,Initial Breadth,-0.005563816055655479,0.034936075,0.042192864836085614
28,Delta Breadth,-0.03455484285950661,-0.007044016,0.6157492577533428
28,Delta Pi,5.349481361918151e-4,0.001034121,0.6405177161317318
28,Delta SNV Density,-0.01953192800283432,1.094716256,0.4098343026987232
28,Disinfection Type,0.3225210774689913,NA,NA
28,Initial Breadth,-0.013026956468820572,0.021544735,0.025920210719675513
29,Delta Breadth,-0.12759044766426086,-0.006347324,0.6162510387524326
29,Delta Pi,-0.013857197016477585,-4.25069e-4,0.62141089641427
29,Delta SNV Density,0.06118083745241165,-1.532710263,0.365327652000115
29,Disinfection Type,-0.05832285061478615,NA,NA
29,Initial Breadth,1.6517675248906016e-4,0.028588751,0.03447983477211975
30,Delta Breadth,-1.7164711952209473,-0.599911964,0.1887458311662854
30,Delta Pi,0.12704315781593323,0.012713522,0.7934492804344904
30,Delta SNV Density,-0.05604441463947296,35.93483519,1
30,Disinfection Type,0.01714626094326377,NA,NA
30,Initial Breadth,0.061660945415496826,0.321161441,0.39000319451637805
31,Delta Breadth,0.11275208741426468,0.008618517,0.6270299405471997
31,Delta Pi,0.01964370347559452,-0.002924169,0.5886873627031642
31,Delta SNV Density,0.19586782157421112,-1.986989885,0.35763249314043166
31,Disinfection Type,0.1336379093118012,NA,NA
31,Initial Breadth,3.2430700957775116e-4,0.021537365,0.025911254972092526
32,Delta Breadth,-0.30504128336906433,-0.079727832,0.5633999300588336
32,Delta Pi,0.05997319892048836,0.007189391,0.7211156055102915
32,Delta SNV Density,0.014572656713426113,-0.012957288,0.3910711368577768
32,Disinfection Type,0.007134726271033287,NA,NA
32,Initial Breadth,0.03351171314716339,0.082447767,0.0999272909951861
33,Delta Breadth,-0.06502249836921692,-0.006853694,0.615886334055796
33,Delta Pi,0.017954014241695404,5.74905e-4,0.6345046833372542
33,Delta SNV Density,0.008464539423584938,0.004899273,0.3913736137176845
33,Disinfection Type,0.012472667265683413,NA,NA
33,Initial Breadth,0.06473284959793091,0.186188167,0.22598873421879404
34,Delta Breadth,-0.25019749999046326,-0.050739184,0.5842785288596007
34,Delta Pi,0.03259451687335968,4.18282e-4,0.6324538418261363
34,Delta SNV Density,-0.008358251303434372,0.027631667,0.3917586835614974
34,Disinfection Type,0.00440079253166914,NA,NA
34,Initial Breadth,0.05125231668353081,0.179762066,0.21817997729901478
35,Delta Breadth,1.0688773393630981,0.464497377,0.9553692207954909
35,Delta Pi,0.02196655422449112,0.00138838,0.6451564285998054
35,Delta SNV Density,-0.0415373258292675,-0.331239163,0.3856796786640327
35,Disinfection Type,-0.06571806827560067,NA,NA
35,Initial Breadth,0.058992717415094376,0.507034238,0.615868846141287
36,Delta Breadth,-0.04025629535317421,-0.005057848,0.6171797627159379
36,Delta Pi,0.05630021542310715,-0.00339433,0.5825310146846187
36,Delta SNV Density,0.02669377811253071,0.00848418,0.39143433937546496
36,Disinfection Type,-0.04959271987900138,NA,NA
36,Initial Breadth,0.05178309604525566,0.237731295,0.28862201020326256
37,Delta Breadth,0.17832238972187042,0.045689621,0.6537297958670307
37,Delta Pi,-0.020126711577177048,0.003075627,0.6672494557229546
37,Delta SNV Density,-0.01997539773583412,-0.020222832,0.39094806394722914
37,Disinfection Type,0.002011185511946678,NA,NA
37,Initial Breadth,0.006985290441662073,0.283860719,0.34467675613169296
